scenario,rpm,fraction,shape,method,edge,start_s,ramp_s,valid,peak_rpm,recovery_from_start_s,recovery_after_ramp_s
9000rpm_10pct_ramps,9000,0.1,ramps,PI,remove,75.0,3.0,True,2.0421210425793106,3.3149999999999977,0.3149999999999977
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,apply,10.005,0.3,True,10.351108737770119,1.0050000000000043,0.7050000000000043
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,remove,15.0,0.3,True,10.140104650470676,1.0349999999999966,0.7349999999999965
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,apply,30.0,1.5,True,3.1449862429708446,1.8449999999999989,0.34499999999999886
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,remove,40.005,1.5,True,3.1335894856401865,1.8599999999999923,0.3599999999999923
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,apply,60.0,3.0,True,1.5652430297795945,3.1650000000000063,0.16500000000000625
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,remove,75.0,3.0,True,1.5661855247508356,3.1500000000000057,0.15000000000000568
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,apply,10.005,0.3,True,10.34935317288,1.020000000000005,0.7200000000000049
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,remove,15.0,0.3,True,10.137213437410537,1.0499999999999972,0.7499999999999971
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,apply,30.0,1.5,True,3.1713388345997373,1.8449999999999989,0.34499999999999886
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,remove,40.005,1.5,True,3.1582160540292534,1.874999999999993,0.3749999999999929
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,apply,60.0,3.0,True,1.5773462877496058,3.1650000000000063,0.16500000000000625
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,remove,75.0,3.0,True,1.5781614242805517,3.1500000000000057,0.15000000000000568
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,apply,10.005,0.3,True,9.376818246129915,1.079999999999993,0.7799999999999929
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,remove,15.0,0.3,True,9.205328537269452,1.0949999999999989,0.7949999999999988
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,apply,30.0,1.5,True,3.050296951960263,1.9200000000000017,0.4200000000000017
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,remove,40.005,1.5,True,3.022339910230585,1.9199999999999946,0.4199999999999946
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,apply,60.0,3.0,True,1.544683837249977,3.1650000000000063,0.16500000000000625
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,remove,75.0,3.0,True,1.5364333225097653,3.1500000000000057,0.15000000000000568
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,apply,10.005,0.3,True,9.866430912719807,0.9150000000000009,0.6150000000000009
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,remove,15.0,0.3,True,9.669623328680245,0.9300000000000068,0.6300000000000068
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,apply,30.0,1.5,True,2.849545471199235,1.7849999999999966,0.2849999999999966
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,remove,40.005,1.5,True,2.816651713110332,1.8000000000000043,0.30000000000000426
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,apply,60.0,3.0,True,1.5279500834294595,3.1500000000000057,0.15000000000000568
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,remove,75.0,3.0,True,1.512872366449301,3.1500000000000057,0.15000000000000568
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,apply,10.005,0.3,True,10.67723870295049,1.3500000000000032,1.0500000000000032
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,remove,15.0,0.3,True,11.057787900050243,1.3199999999999932,1.0199999999999931
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,apply,30.0,1.5,True,3.950134272730793,2.1299999999999955,0.6299999999999955
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,remove,40.005,1.5,True,3.9406906821895973,2.1000000000000014,0.6000000000000014
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,apply,60.0,3.0,True,2.0542421532991284,3.3149999999999977,0.3149999999999977
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,remove,75.0,3.0,True,2.0443830953408906,3.2849999999999966,0.2849999999999966
9000rpm_20pct_ramps,9000,0.2,ramps,PI,apply,10.005,0.3,True,22.55349592150924,1.695000000000002,1.395000000000002
9000rpm_20pct_ramps,9000,0.2,ramps,PI,remove,15.0,0.3,True,22.380309727579515,1.7399999999999949,1.4399999999999948
9000rpm_20pct_ramps,9000,0.2,ramps,PI,apply,30.0,1.5,True,8.78636964854013,2.489999999999995,0.9899999999999949
9000rpm_20pct_ramps,9000,0.2,ramps,PI,remove,40.005,1.5,True,7.987501429610347,2.490000000000002,0.990000000000002
9000rpm_20pct_ramps,9000,0.2,ramps,PI,apply,60.0,3.0,True,4.6491678189595405,3.7049999999999983,0.7049999999999983
9000rpm_20pct_ramps,9000,0.2,ramps,PI,remove,75.0,3.0,True,4.362880944530843,3.6599999999999966,0.6599999999999966
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,apply,10.005,0.3,True,21.914221590859597,1.1699999999999964,0.8699999999999963
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,remove,15.0,0.3,True,22.32858484358985,1.2150000000000034,0.9150000000000034
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,apply,30.0,1.5,True,7.095527439709258,2.055000000000007,0.5550000000000068
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,remove,40.005,1.5,True,6.822507688149926,2.039999999999999,0.5399999999999991
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,apply,60.0,3.0,True,3.5356957815001806,3.3599999999999994,0.35999999999999943
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,remove,75.0,3.0,True,3.7705131366601563,3.344999999999999,0.34499999999999886
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,apply,10.005,0.3,True,21.918221271080256,1.1999999999999975,0.8999999999999975
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,remove,15.0,0.3,True,22.335377289389726,1.2450000000000045,0.9450000000000045
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,apply,30.0,1.5,True,7.146384385239799,2.069999999999993,0.5699999999999932
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,remove,40.005,1.5,True,6.795164673199906,2.0549999999999997,0.5549999999999997
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,apply,60.0,3.0,True,3.545469008549844,3.375,0.375
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,remove,75.0,3.0,True,3.7619545594898227,3.344999999999999,0.34499999999999886
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,apply,10.005,0.3,True,19.97936441282036,1.4100000000000055,1.1100000000000054
