scenario,method,first_failure_s,max_flow_error,iterations,compressor_margin,fuel_lbm_s
9000rpm_20pct_ramps,UDE,61.53,1.45090657053234e-05,200.0,25.6789554251669,1.29054742906979
9500rpm_30pct_ramps,PI,10.379999999999995,0.00119337272891972,200.0,0.000222686675651769,3.72648023838619
9500rpm_30pct_ramps,DOB,10.379999999999995,0.00304228030610424,200.0,0.000222424057569674,3.75967220731436
9500rpm_30pct_ramps,LESO,10.379999999999995,0.00331814477221513,200.0,0.000222421290372335,3.76406665004805
9500rpm_30pct_ramps,UDE,10.379999999999995,0.000294155734764661,200.0,0.000221854882400559,3.72895788391124
9500rpm_30pct_ramps,GPIO,10.364999999999995,8.86157739381506e-05,200.0,0.000222122648982462,3.72019043706476
9500rpm_30pct_ramps,GPR_FF,10.379999999999995,0.00065569392709247,200.0,0.00022325206038596,3.70659641835867
9500rpm_30pct_steps,PI,10.155000000000001,0.0064673789987631,200.0,0.000225746984868401,3.74888957284175
9500rpm_30pct_steps,DOB,10.155000000000001,0.00803509720672061,200.0,0.000225645995093579,3.77685765669603
9500rpm_30pct_steps,LESO,10.155000000000001,0.00800889609768647,200.0,0.000225685775672917,3.77541652019398
9500rpm_30pct_steps,UDE,10.14,0.00154220011116851,200.0,0.000225227480419042,3.68288635067035
9500rpm_30pct_steps,GPIO,10.155000000000001,0.0106609341319722,200.0,0.000225573237841772,3.82246369372334
9500rpm_30pct_steps,GPR_FF,10.155000000000001,0.0011893029377307,200.0,0.000226250004983615,3.65726349919097
