rpm,fraction,shape,previous_valid,FF_valid,previous_RMSE,FF_RMSE,RMSE_reduction_percent,previous_peak,FF_peak,previous_IAE,FF_IAE,previous_margin,FF_margin
9000,0.05,ramps,1,1,0.370562617006627,0.251226235854906,32.2041068566792,2.22624043501492,1.79024449164717,14.3212237583598,9.54807868107128,29.8630012219869,29.6930943492501
9000,0.1,ramps,1,1,0.744078008466557,0.504458043096064,32.2036080416242,4.46486399276182,3.60549350910878,28.7655153718404,19.1779534265231,25.2776323199369,24.9392611852692
9000,0.2,ramps,1,1,1.58093050092005,1.07214524506324,32.1826453193682,9.47838241556201,7.89388448664795,61.1100840793059,40.7381802009682,16.2279872725697,15.2006756821313
9000,0.3,ramps,1,1,2.46661370627074,1.67072252224791,32.2665515884988,14.7063680561787,12.1327028180331,95.1800039832923,63.4434004745397,8.30426143391737,7.03655171806478
9500,0.05,ramps,1,1,0.522166798606537,0.354654765075788,32.080177057939,3.30107531684371,2.65326657835249,19.5192550427741,13.0133775603046,22.3164018480251,22.1877608471801
9500,0.1,ramps,1,1,1.09108393224036,0.741367148039899,32.0522348342511,6.86942670238204,5.57980577109083,40.7641900226612,27.1766935472046,17.5398227545051,17.1434966705189
9500,0.2,ramps,1,1,2.28365702960949,1.55167591786257,32.0530229476749,14.4253235792639,11.7167482232617,85.2248481536614,56.8112571689857,8.93871685702351,8.22845479516774
9500,0.3,ramps,1,0,3.68136577756138,NaN,NaN,23.319846796112,NaN,137.317970481938,NaN,0.356432862439272,NaN
9500,0.2,steps,1,0,3.09508549804032,NaN,NaN,26.0187914266698,NaN,84.9444243379509,NaN,0.672833932950578,NaN
9500,0.3,steps,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
