time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,max_flow_error,valid
91.485,8998.23845117184,1.28290363007041,9000,8998.25853351053,1.10474080194104,1.28290363007041,0,0.125163785464462,25.9136073509529,10,1167.13527591662,13278.4543856091,-12110.6460989272,1.28290363007041,0.982312141850458,0.978675956556943,0.00363618529351561,-0.631414093320131,0.289682932339408,1.28290363007041,1,2.21781485848628e-10,1
91.5,8998.24032862862,1.28574510508464,9000,8998.25332892143,1.10617906681692,1.28574510508464,0,-0.0586104488537927,25.837707978237,10,1178.9245211279,13292.1664830902,-12113.5580983754,1.28574510508464,0.982312141850458,0.978819653806922,0.00349248804353652,-0.519495089234217,0.292955499103572,1.28574510508464,1,2.07676650424136e-10,1
91.515,8998.23944947189,1.28843172135617,9000,8998.24995973305,1.10757462708413,1.28843172135617,0,1.83980512256923,25.7660234762636,10,1178.9245211279,13305.1123606056,-12116.2860053584,1.28843172135617,0.982312141850458,0.978971861462806,0.00334028038765166,-0.403467854613207,0.296098738342755,1.28843172135617,1,1.9965682527709e-10,1
91.53,8998.26704654873,1.2910952952415,9000,8998.24723586749,1.10895632695523,1.2910952952415,0,3.70182467373808,25.6957658152535,10,1178.9245211279,13318.060155096,-12119.2116650005,1.2910952952415,0.982312141850458,0.979086087617324,0.00322605423313393,-0.31616612960432,0.299104990691642,1.2910952952415,1,1.98641417645062e-10,1
91.545,8998.32257391883,1.29291851748536,9000,8998.25237005317,1.11014052286597,1.29291851748536,0,4.93783510721292,25.6486225808711,9,1178.9245211279,13327.0033176622,-12121.5019806219,1.29291851748536,0.982312141850458,0.979446163139312,0.00286597871114647,-0.0570881411092894,0.302008439501462,1.29291851748536,1,6.96748227920789e-10,1
91.56,8998.39664144544,1.29337444613776,9000,8998.2705642625,1.11098922271677,1.29337444613776,0,5.20881147519827,25.6382741723186,8,1178.9245211279,13329.5109583322,-12122.5508826181,1.29337444613776,0.982312141850458,0.98015398053519,0.00215816131526791,0.442631861764557,0.304587820341494,1.29337444613776,1,7.71116258147251e-10,1
91.575,8998.47477361757,1.29237702386005,9000,8998.30323874043,1.11145656587941,1.29237702386005,0,4.49503062652906,25.6666280930977,9,1178.9245211279,13325.2757485679,-12122.1573608184,1.29237702386005,0.982312141850458,0.98113390302234,0.00117823882811829,1.12556347996929,0.306530165525235,1.29237702386005,1,4.24473257321919e-10,1
91.59,8998.54219907697,1.29027642304156,9000,8998.34769414803,1.11160023899527,1.29027642304156,0,2.9348684254676,25.7240923906724,9,1178.9245211279,13315.2786590943,-12120.5577391019,1.29027642304156,0.982312141850458,0.982187574943604,0.000124566906853918,1.84881142005168,0.307590580470542,1.29027642304156,1,8.46522026827851e-10,1
91.605,8998.58622210335,1.28772206640233,9000,8998.39810253167,1.11155940105547,1.28772206640233,0,1.10073533228693,25.7931804054433,9,1178.9245211279,13303.1570144097,-12118.308376151,1.28772206640233,0.982312141850458,0.983076397228737,-0.000764255378278511,2.44363770754145,0.30770269068671,1.28772206640233,1,9.99534350589987e-10,1
91.62,8998.60273313333,1.28550668586774,9000,8998.44685607017,1.11152277986183,1.28550668586774,0,-0.475563859530115,25.8526854045251,9,1178.9245211279,13292.5469158901,-12116.1828310218,1.28550668586774,0.982312141850458,0.983585580793449,-0.00127343894299115,2.76100936606255,0.307014860846259,1.28550668586774,1,8.48189173741575e-10,1
91.635,8998.59559967544,1.284275963157,9000,8998.48725355955,1.1116617865007,1.284275963157,0,-1.34024879923589,25.8853955603547,9,1178.9245211279,13286.58157862,-12114.8717281511,1.284275963157,0.982312141850458,0.983613790014134,-0.00130164816367562,2.7343150654007,0.305868765797567,1.284275963157,1,4.61707187108678e-10,1
91.65,8998.57549594345,1.28435356308034,9000,8998.51533280981,1.11208330361327,1.28435356308034,0,-1.27163194167048,25.8828440511451,8,1178.9245211279,13286.8709970113,-12114.7917954807,1.28435356308034,0.982312141850458,0.983197428923918,-0.000885287073459473,2.39500085884831,0.304697282450259,1.28435356308034,1,1.95929792007474e-10,1
91.665,8998.55642146433,1.28565673285152,9000,8998.53092483793,1.11280086102296,1.28565673285152,0,-0.337798482093216,25.847578634665,9,1178.9245211279,13293.0748968887,-12115.9692688195,1.28565673285152,0.982312141850458,0.982497452878152,-0.000185311027693702,1.86164045217207,0.303900524084146,1.28565673285152,1,5.03730833013578e-10,1
91.68,8998.55135448709,1.2877378626263,9000,8998.53753260737,1.11373487011237,1.2877378626263,0,1.13580693469031,25.7919309656332,9,1178.9245211279,13303.0858927265,-12118.0485026247,1.2877378626263,0.982312141850458,0.981748149644919,0.000563992205539376,1.30247232368863,0.303733744159221,1.2877378626263,1,8.02620088814672e-10,1
91.695,8998.56839159111,1.28993429226199,9000,8998.54111472027,1.11474075670671,1.28993429226199,0,2.67531365409287,25.7338214346211,9,1178.9245211279,13313.7412260227,-12120.4173303159,1.28993429226199,0.982312141850458,0.981185204094682,0.00112693775577566,0.883952837823514,0.304241337144207,1.28993429226199,1,8.47069498139219e-10,1
91.71,8998.60852129593,1.29157653683525,9000,8998.54818386231,1.1156554073175,1.29157653683525,0,3.83795429160573,25.6910850254087,9,1178.9245211279,13321.9854300016,-12122.4034540872,1.29157653683525,0.982312141850458,0.980975870563662,0.00133627128679636,0.721577208172123,0.305255581124405,1.29157653683525,1,6.26939088139681e-10,1
91.725,8998.6660906103,1.29218967230142,9000,8998.56382106245,1.11634717934245,1.29218967230142,0,4.23145103850004,25.6761542414863,9,1178.9245211279,13325.1818886845,-12123.4817360389,1.29218967230142,0.982312141850458,0.981172373460978,0.00113976838947982,0.847842621598676,0.306458225282522,1.29218967230142,1,2.16308398529496e-10,1
91.74,8998.72956237588,1.29161443134176,9000,8998.59032549415,1.11675126167159,1.29161443134176,0,3.78166611111476,25.6929538869249,9,1178.9245211279,13322.6793911985,-12123.4001175915,1.29161443134176,0.982312141850458,0.981706050964376,0.000606090886082322,1.20948796151972,0.307484016833054,1.29161443134176,1,2.52410751729922e-10,1
91.755,8998.78628736755,1.29006843233832,9000,8998.62641047251,1.11689217787656,1.29006843233832,0,2.62056885499167,25.7354284314174,9,1178.9245211279,13315.3079631801,-12122.2783933243,1.29006843233832,0.982312141850458,0.982403211231346,-9.10693808875429e-05,1.68014703988165,0.308029498630528,1.29006843233832,1,6.24670263596866e-10,1
91.77,8998.82559590037,1.28805209998016,9000,8998.66784456832,1.11687019519516,1.28805209998016,0,1.16967128420272,25.7900696128219,9,1178.9245211279,13305.7585663147,-12120.5387076441,1.28805209998016,0.982312141850458,0.983048001203134,-0.000735859352675838,2.10593044877701,0.307947536187729,1.28805209998016,1,7.91297153586546e-10,1
91.785,8998.84314096963,1.28619994997428,9000,8998.70872779791,1.11683112560406,1.28619994997428,0,-0.150642576583467,25.8398884777582,9,1178.9245211279,13296.9045781659,-12118.7915985621,1.28619994997428,0.982312141850458,0.983444626732626,-0.00113248488216766,2.34973120951108,0.307285262770321,1.28619994997428,1,7.12303902524779e-10,1
91.8,8998.84088133099,1.28505785620899,9000,8998.74356265153,1.11691498567044,1.28505785620899,0,-0.955962092624632,25.870330220171,9,1178.9245211279,13291.387926631,-12117.6097622253,1.28505785620899,0.982312141850458,0.983485579189737,-0.00117343733927933,2.33894714543689,0.30626602637637,1.28505785620899,1,4.31388701629718e-10,1
91.815,8998.8265418996,1.2849358964429,9000,8998.76878400379,1.11721684424623,1.2849358964429,0,-1.03229902663834,25.8732475916609,8,1178.9245211279,13290.7392312309,-12117.3719588752,1.2849358964429,0.982312141850458,0.983174201243316,-0.000862059392858328,2.08023174428864,0.305209932771018,1.2849358964429,1,2.1041722882176e-10,1
91.83,8998.8110574142,1.28582469997398,9000,8998.78375268446,1.11776014250644,1.28582469997398,0,-0.393737756119561,25.8491433989393,9,1178.9245211279,13294.9598376871,-12118.1553659323,1.28582469997398,0.982312141850458,0.982619315581767,-0.000307173731308952,1.65437212611909,0.304434079317446,1.28582469997398,1,3.443583776962e-10,1
91.845,8998.80515134785,1.28741141826529,9000,8998.79082904648,1.11849263130037,1.28741141826529,0,0.731173561696933,25.806665504343,9,1178.9245211279,13302.5843012635,-12119.7247612186,1.28741141826529,0.982312141850458,0.98199825736527,0.000313884485187987,1.18904951674278,0.304157622959268,1.28741141826529,1,6.10850591618213e-10,1
91.86,8998.81611895128,1.28918643968492,9000,8998.79454084991,1.11930525221229,1.28918643968492,0,1.97728417675169,25.7596207704603,9,1178.9245211279,13311.1847338556,-12121.6177337554,1.28918643968492,0.982312141850458,0.981500748904284,0.000811392946173939,0.818560377629492,0.304440118995937,1.28918643968492,1,6.82142054140632e-10,1
91.875,8998.84577821393,1.29060484287693,9000,8998.80013308461,1.12006733771816,1.29060484287693,0,2.95851961148507,25.7225672071448,9,1178.9245211279,13318.1432324062,-12123.2944715206,1.29060484287693,0.982312141850458,0.981271365724133,0.00104077612632536,0.643173492307878,0.305170372647493,1.29060484287693,1,5.40023357986241e-10,1
91.89,8998.8901560081,1.2912516141986,9000,8998.81196259044,1.1206668401766,1.2912516141986,0,3.38472739242623,25.7064170691467,9,1178.9245211279,13321.4459127939,-12124.3029005241,1.2912516141986,0.982312141850458,0.981368008121474,0.00094413372898372,0.700407632853009,0.306107071161186,1.2912516141986,1,2.33802327977128e-10,1
91.905,8998.94092691899,1.2909608389805,9000,8998.83222739204,1.12104326513435,1.2909608389805,0,3.14460287535762,25.7153570689685,8,1178.9245211279,13320.2599665119,-12124.4093906316,1.2909608389805,0.982312141850458,0.981748173312869,0.00056396853758911,0.956390578258781,0.306956791517272,1.2909608389805,1,7.01421671606797e-10,1
91.92,8998.98809596212,1.28985513743352,9000,8998.8603982332,1.12120372601916,1.28985513743352,0,2.33153117404638,25.7459008720094,9,1178.9245211279,13315.1329883065,-12123.6589386015,1.28985513743352,0.982312141850458,0.982285931056472,2.62107939863476e-05,1.31903769396275,0.307464363201102,1.28985513743352,1,4.48447862461558e-10,1
91.935,8999.02306892973,1.28829692559454,9000,8998.89349269587,1.12121802863742,1.28829692559454,0,1.20715278622038,25.7882355007761,9,1178.9245211279,13307.7724962435,-12122.3507426199,1.28829692559454,0.982312141850458,0.982813198240995,-0.000501056390536991,1.66814722904663,0.30748795291569,1.28829692559454,1,6.13597317838612e-10,1
91.95,8999.04117622152,1.28676973355461,9000,8998.92707399658,1.1211951476742,1.28676973355461,0,0.11605840571323,25.8293879017971,9,1178.9245211279,13300.4877562898,-12120.9391839002,1.28676973355461,0.982312141850458,0.983171945337142,-0.000859803486683797,1.89266325502914,0.307037002164206,1.28676973355461,1,5.8995369833536e-10,1
91.965,8999.04291709761,1.28572797202435,9000,8998.95664501445,1.12124891760593,1.28572797202435,0,-0.621055944458118,25.8572330877717,9,1178.9245211279,13295.4723259107,-12119.8915280686,1.28572797202435,0.982312141850458,0.983261258134558,-0.000949116284099771,1.92364421894826,0.306263179026191,1.28572797202435,1,3.9597253707138e-10,1
91.98,8999.03360125844,1.28546150980974,9000,8998.9790035032,1.12146366378581,1.28546150980974,0,-0.802917167558336,25.8641268092478,8,1178.9245211279,13294.148086715,-12119.54621576,1.28546150980974,0.982312141850458,0.983065343987531,-0.000753202137073083,1.75324118510151,0.305408974370501,1.28546150980974,1,5.07306381926477e-10,1
91.995,8999.02155750093,1.28601522696382,9000,8998.99315319395,1.12187009480024,1.28601522696382,0,-0.40347795226149,25.8490571737701,9,1178.9245211279,13296.7672363359,-12120.0152440306,1.28601522696382,0.982312141850458,0.982654810961717,-0.000342669111258909,1.43455916477807,0.304731092447135,1.28601522696382,1,2.15461982132764e-10,1
92.01,8999.01550533165,1.28718559723718,9000,8999.00051452515,1.12243829672235,1.28718559723718,0,0.427412216086562,25.8176849635199,9,1178.9245211279,13302.3840953704,-12121.1595595638,1.28718559723718,0.982312141850458,0.982161886803883,0.000150255046574621,1.06320132556754,0.304422690247002,1.28718559723718,1,4.50185442676295e-10,1
92.025,8999.02191651489,1.2885921978629,9000,8999.00439958004,1.12308925398863,1.2885921978629,0,1.41647685747414,25.7803399979257,9,1178.9245211279,13309.1905892455,-12122.642079379,1.2885921978629,0.982312141850458,0.981738096442617,0.000574045407840673,0.746774200323555,0.304557919788919,1.2885921978629,1,5.39227447680456e-10,1
92.04,8999.04316366775,1.28979946551317,9000,8999.00893931267,1.12372067261836,1.28979946551317,0,2.25444915063895,25.7486912542388,9,1178.9245211279,13315.0974143064,-12124.0382086466,1.28979946551317,0.982312141850458,0.981507887514881,0.00080425433557707,0.572024488491322,0.305074560655976,1.28979946551317,1,4.5893988655074e-10,1
92.055,8999.07698040501,1.29044989810775,9000,8999.01780898209,1.12423873230551,1.29044989810775,0,2.69052403476797,25.7321829130704,9,1178.9245211279,13318.3737042819,-12124.9671192204,1.29044989810775,0.982312141850458,0.981532352950694,0.000779788899764489,0.579613255493127,0.305798389557995,1.29044989810775,1,2.38526160956979e-10,1
92.07,8999.11733826553,1.29036817999969,9000,8999.03314399598,1.12458595918919,1.29036817999969,0,2.60514186837608,25.735316111868,8,1178.9245211279,13318.1505636717,-12125.2035167032,1.29036817999969,0.982312141850458,0.981793528989976,0.000518612860482603,0.753810396849356,0.306500199567783,1.29036817999969,1,2.53663278408579e-10,1
92.085,8999.15641539356,1.28960624475251,9000,8999.05496399337,1.12475700554894,1.28960624475251,0,2.04033089095664,25.7565256415598,9,1178.9245211279,13314.6449265188,-12124.7381487669,1.28960624475251,0.982312141850458,0.982203091263845,0.000109050586612813,1.02957578230784,0.306966951142218,1.28960624475251,1,3.11134054995215e-10,1
92.1,8999.18702035692,1.288418276245,9000,8999.08125639187,1.12479811503745,1.288418276245,0,1.18041554192199,25.7888959569629,9,1178.9245211279,13309.0497881736,-12123.7718409984,1.288418276245,0.982312141850458,0.982631795942335,-0.000319654091877064,1.31415279136649,0.307065096670169,1.288418276245,1,4.69356608818111e-10,1
92.115,8999.20472659005,1.28717604484554,9000,8999.10866644546,1.12479112356391,1.28717604484554,0,0.290906262531119,25.8224338682153,9,1178.9245211279,13303.1371006049,-12122.6473204634,1.28717604484554,0.982312141850458,0.982949976847924,-0.000637834997465614,1.51607500648871,0.30677740798748,1.28717604484554,1,4.81704727863557e-10,1
92.13,8999.20909018399,1.2862523882812,9000,8999.13356163269,1.12482743690888,1.2862523882812,0,-0.364530726814889,25.8471808216553,9,1178.9245211279,13298.7025265013,-12121.7409285814,1.2862523882812,0.982312141850458,0.983066511870131,-0.000754370019673267,1.5725788333582,0.306203356489761,1.2862523882812,1,3.52873356555683e-10,1
92.145,8999.20362222309,1.28590909679954,9000,8999.15313580086,1.12498020048687,1.28590909679954,0,-0.603291160332256,25.8562141386541,8,1178.9245211279,13297.0241871975,-12121.3478222114,1.28590909679954,0.982312141850458,0.982954631358117,-0.000642489507659105,1.46727294656418,0.305524423472055,1.28590909679954,1,6.68285255422501e-10,1
92.16,8999.19457285568,1.28622274408339,9000,8999.16621998826,1.12528308960307,1.28622274408339,0,-0.375516689078797,25.8476273646207,8,1178.9245211279,13298.4983002512,-12121.5958359298,1.28622274408339,0.982312141850458,0.9826573354112,-0.000345193560741697,1.23316113388253,0.304946182915162,1.28622274408339,1,6.41641736608267e-10,1
92.175,8999.18894010535,1.28706927920693,9000,8999.17356798827,1.12572182996124,1.28706927920693,0,0.226319528793096,25.8249067430775,9,1178.9245211279,13302.5557602217,-12122.4136490532,1.28706927920693,0.982312141850458,0.982271598968466,4.05428819920672e-05,0.940697550301859,0.304635508710494,1.28706927920693,1,3.2561277797218e-10,1
92.19,8999.19233489828,1.28816963299636,9000,8999.17755186456,1.12624048766563,1.28816963299636,0,1.0011690447702,25.7956486794463,9,1178.9245211279,13307.8739207929,-12123.5608425738,1.28816963299636,0.982312141850458,0.981916977236588,0.000395164613870014,0.675064117566233,0.304671997304287,1.28816963299636,1,4.21170826579994e-10,1
92.205,8999.20735243395,1.28918006980058,9000,8999.18138307254,1.12676003431246,1.28918006980058,0,1.70445074747183,25.7690843771502,9,1178.9245211279,13312.8066719852,-12124.707856937,1.28918006980058,0.982312141850458,0.981698714352675,0.000613427497782704,0.509944609562844,0.30502764545677,1.28918006980058,1,3.83711444346089e-10,1
92.22,8999.23291919516,1.28979819307835,9000,8999.18811335716,1.12720308858289,1.28979819307835,0,2.12339851427712,25.7532325789996,9,1178.9245211279,13315.8929164293,-12125.53889546,1.28979819307835,0.982312141850458,0.981676701509418,0.000635440341040461,0.485841083939374,0.305579730204774,1.28979819307835,1,2.28511432477597e-10,1
92.235,8999.26477017288,1.28985207212859,9000,8999.19972535015,1.1275171293442,1.28985207212859,0,2.13959713734877,25.7525547894744,7,1178.9245211279,13316.2870555638,-12125.8457972607,1.28985207212859,0.982312141850458,0.981849373928319,0.000462767922139173,0.599275061280973,0.306151626511711,1.28985207212859,1,1.99776760175046e-10,1
92.25,8999.29686412994,1.28934645565457,9000,8999.21658252902,1.12768926518999,1.28934645565457,0,1.76055342220394,25.7667791948305,9,1178.9245211279,13313.9865100844,-12125.5856030715,1.28934645565457,0.982312141850458,0.982156743129633,0.000155398720825595,0.805664234848341,0.306568117641636,1.28934645565457,1,2.08631040028607e-10,1
