rpm,fraction,shape,first_invalid_eval_s,flow_error,iterations,surge_margin
9500,0.3,ramps,10.35,0.00348427612530874,200,0.000216546441938683
9500,0.2,steps,10.095,0.006961928732319,200,0.000216910373066936
9500,0.3,steps,10.065,0.0117025940383265,200,0.000220140824720203
