time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,FF_total,altitude_m,isa_delta_C
85.35,9449.99354491751,1.62457633452476,9450,9449.99354925416,2.39036174853787,1.62457633452476,0,-0.000111322344652353,18.1388373239016,18,0,15602.1880532828,-15602.1886825421,1.62457633452476,1.61116955648108,1.61116371411863,5.84236244738356e-06,-5.08974286354198e-05,0.0132454052579979,1.62457633452476,0,257.593414304899,58.8354522415445,5.77472284168201e-10,1,0.999478476257595,0,0.00645083972788874,0.000161372785688588,0.000893150448973647,0.00158738718496589,0,1.61116955648108,4225,-3.1
85.365,9449.99354324767,1.62415505292193,9450,9449.99354813026,2.39036661513747,1.62415505292193,0,-0.00012083669010119,18.1364712916931,18,0,15597.905119905,-15597.905802945,1.62415505292193,1.61073855164138,1.61073269844287,5.85319851409416e-06,-6.03521703878987e-05,0.0132550815175898,1.62415505292193,0,257.587174523083,58.8153755538074,5.86642379368985e-10,1,0.99949058167177,0,0.00645196235400898,0.000161419762959258,0.000892347843989953,0.00158741601684907,0,1.61073855164138,4227.5,-3.09
85.38,9449.99354143512,1.62373368537607,9450,9449.99354686488,2.39037148617289,1.62373368537607,0,-0.000130349427660612,18.134105404302,18,0,15593.62151694,-15593.6222537516,1.62373368537607,1.61030745562553,1.61030159147196,5.86415356806924e-06,-6.97981332226673e-05,0.0132647594611208,1.62373368537607,0,257.580934735464,58.7952988659856,5.95956901786633e-10,1,0.999502687521981,0,0.00645322775593748,0.000161470289422728,0.000891546632150194,0.00158744481712743,0,1.61030745562553,4230,-3.08
85.395,9449.99353947988,1.62331223184403,9450,9449.99354545769,2.39037636175828,1.62331223184403,0,-0.000139883935127888,18.1317396625097,18,0,15589.3372441792,-15589.3380348854,1.62331223184403,1.60987626821557,1.6098703929687,5.87524686257446e-06,-7.92470736867886e-05,0.0132744393027547,1.62331223184403,0,257.574694942062,58.775222178098,6.05416948480051e-10,1,0.99951479380822,0,0.00645463325101439,0.000161524325706785,0.000890746813536986,0.00158747358569018,0,1.60987626821557,4232.5,-3.07
85.41,9449.99353738162,1.62289069252799,9450,9449.99354390847,2.39038124200592,1.62289069252799,0,-0.000149311791527664,18.1293740620235,18,0,15585.052302498,-15585.0531464961,1.62289069252799,1.60944498919713,1.60943910270773,5.8864893970334e-06,-8.87039276223893e-05,0.0132841212526312,1.62289069252799,0,257.568455142863,58.7551454901411,6.15025429777836e-10,1,0.999526900530506,0,0.00645618688604649,0.000161582078233352,0.000889948388220712,0.00158750232242638,0,1.60944498919713,4235,-3.06
85.425,9449.99353514195,1.62246906714392,9450,9449.99354221695,2.39038612702874,1.62246906714392,0,-0.000158806414999817,18.127008608592,18,0,15580.766690627,-15580.7675882943,1.62246906714392,1.60901361834816,1.60900772046676,5.89788140792358e-06,-9.81722136278619e-05,0.0132938055329603,1.62246906714392,0,257.56221533785,58.7350688021047,6.24784418550849e-10,1,0.999539007689067,0,0.00645787672869659,0.000161643262796778,0.000889151356284786,0.0015875310272253,0,1.60901361834816,4237.5,-3.05
85.44,9449.99353275985,1.62204735583841,9450,9449.99354038338,2.39039101692773,1.62204735583841,0,-0.000168273150246706,18.1246432990765,18,0,15576.4804091936,-15576.4813603724,1.62204735583841,1.60858215545153,1.60857624604334,5.90940818434582e-06,-0.000107641516943982,0.0133034923480533,1.62204735583841,0,257.555975527046,58.7149921140118,6.34695847823764e-10,1,0.999551115283781,0,0.0064597102142139,0.000161708038825258,0.000888355717763952,0.0015875596999769,0,1.60858215545153,4240,-3.04
85.455,9449.99353023575,1.62162555861702,9450,9449.99353840765,2.39039591181181,1.62162555861702,0,-0.000177705540813572,18.1222781332344,18,0,15572.1934582048,-15572.194462701,1.62162555861702,1.6081506002919,1.60814467921789,5.92107400243513e-06,-0.000117113870726505,0.0133131819133746,1.62162555861702,0,257.549735710413,58.6949154258372,6.44763045069051e-10,1,0.999563223314794,0,0.00646168732663432,0.000161776411747239,0.000887561472741162,0.00158758834057098,0,1.6081506002919,4242.5,-3.03
85.47,9449.99352757017,1.62120367539812,9450,9449.9935362898,2.39040081178656,1.62120367539812,0,-0.000187151156951203,18.1199131126444,18,0,15567.9058372837,-15567.9068951721,1.62120367539812,1.60771895264703,1.60771301977648,5.9328705492856e-06,-0.000126587024992807,0.0133228744443646,1.62120367539812,0,257.543495887964,58.6748387375962,6.54987942449325e-10,1,0.999575331782163,0,0.00646380535334266,0.000161848306726906,0.000886768621225281,0.00158761694889797,0,1.60771895264703,4245,-3.02
85.485,9449.9935247629,1.62078170617882,9450,9449.99353403,2.39040571695442,1.62078170617882,0,-0.000196608322447912,18.1175482372433,18,0,15563.6175463978,-15563.6186577436,1.62078170617882,1.60728721230233,1.60728126750809,5.94479424198546e-06,-0.000136056370477699,0.0133325701523946,1.62078170617882,0,257.537256059685,58.6547620492816,6.6537261125515e-10,1,0.99958744068592,0,0.0064660644800863,0.000161923724099021,0.00088597716326634,0.00158764552484838,0,1.60728721230233,4247.5,-3.01
85.5,9449.99352181378,1.62035965101205,9450,9449.99353162831,2.39041062742015,1.62035965101205,0,-0.000206040912770575,18.1151835058293,18,0,15559.3285857634,-15559.3297504277,1.62035965101205,1.60685537904057,1.60684942219544,5.9568451271641e-06,-0.000145521640385707,0.0133422692491147,1.62035965101205,0,257.531016225596,58.6346853609151,6.75920377558838e-10,1,0.999599550026037,0,0.00646846713653996,0.000162002722366427,0.000885187098875083,0.00158767406831299,0,1.60685537904057,4250,-3
85.515,9449.99351872316,1.61993750980119,9450,9449.99352908475,2.39041554328992,1.61993750980119,0,-0.000215505517288963,18.1128189202747,18,0,15555.0389549354,-15555.0401730993,1.61993750980119,1.60642345264047,1.60641748362122,5.96901925531412e-06,-0.000154984199759193,0.0133519719498195,1.61993750980119,0,257.524776385668,58.6146086724788,6.86632753941677e-10,1,0.999611659802634,0,0.00647100971888027,0.000162085210890531,0.000884398428078948,0.00158770257918291,0,1.60642345264047,4252.5,-2.99
85.53,9449.99351549058,1.61951528262364,9450,9449.99352639942,2.39042046466761,1.61951528262364,0,-0.00022495064359064,18.1104544788601,18,0,15550.748654236,-15550.7499257893,1.61951528262364,1.60599143288772,1.60598545156719,5.98132052909151e-06,-0.00016444249081633,0.0133616784643979,1.61951528262364,0,257.518536539902,58.594531983977,6.97513065548624e-10,1,0.999623770015688,0,0.00647369543093014,0.000162171271522243,0.000883611150868515,0.00158773105734968,0,1.60599143288772,4255,-2.98
85.545,9449.99351211632,1.61909296944147,9450,9449.99352357226,2.39042539166079,1.61909296944147,0,-0.000234396672556918,18.108090182254,18,0,15546.45768348,-15546.4590084278,1.61909296944147,1.60555931956327,1.60555332581389,5.99374938525798e-06,-0.000173899481298546,0.0133713890075443,1.61909296944147,0,257.51229668829,58.5744552954097,7.0856380028808e-10,1,0.99963588066527,0,0.00647652282544287,0.000162260870653157,0.00088282526724249,0.00158775950270482,0,1.60555931956327,4257.5,-2.97
85.56,9449.99350860037,1.61867057029977,9450,9449.99352060331,2.3904303243749,1.61867057029977,0,-0.000243812435335445,18.1057260294096,18,0,15542.1660428492,-15542.1674210204,1.61867057029977,1.60512711244918,1.60512110614373,6.00630544633773e-06,-0.00018335472865345,0.0133811037917824,1.61867057029977,0,257.506056830838,58.554378606785,7.19787027324261e-10,1,0.999647991751399,0,0.00647949402026397,0.000162354058808402,0.000882040777176725,0.00158778791514034,0,1.60512711244918,4260,-2.96
85.575,9449.99350494318,1.6182480850688,9450,9449.9935174926,2.39043526291564,1.6182480850688,0,-0.000253275076457,18.1033620228944,18,0,15537.8737317529,-15537.8751634126,1.6182480850688,1.6046948113271,1.60468879233897,6.01898813368251e-06,-0.000192808250746072,0.0133908230328128,1.6182480850688,0,257.499816967536,58.5343019181007,7.31185791467956e-10,1,0.999660103274167,0,0.00648260370837813,0.000162450708886852,0.000881257680666459,0.00158781629454849,0,1.6046948113271,4262.5,-2.95
85.59,9449.99350114406,1.61782551386549,9450,9449.99351424026,2.39044020738583,1.61782551386549,0,-0.00026270852080807,18.1009981601664,18,0,15533.5807506869,-15533.5822356699,1.61782551386549,1.60426241598106,1.60425638418785,6.03179321512215e-06,-0.000202257100116983,0.0134005469383754,1.61782551386549,0,257.493577098377,58.5142252293565,7.42763276421769e-10,1,0.999672215233538,0,0.0064858573352893,0.000162550946051272,0.000880475977664699,0.00158784464082192,0,1.60426241598106,4265,-2.94
85.605,9449.99349720343,1.61740285659196,9450,9449.99351084621,2.3904451578938,1.61740285659196,0,-0.000272170250579989,18.0986344431333,18,0,15529.2870992014,-15529.2886376677,1.61740285659196,1.60382992619139,1.6038238814647,6.0447266889696e-06,-0.000211705310203031,0.0134102757243783,1.61740285659196,0,257.48733722335,58.4941485405471,7.5452127115039e-10,1,0.999684327629612,0,0.00648925062847359,0.000162654676187936,0.000879695668130902,0.00158787295385321,0,1.60382992619139,4267.5,-2.93000000000001
85.62,9449.99349312087,1.61698011333505,9450,9449.99350731052,2.39045011454446,1.61698011333505,0,-0.000281602956703114,18.0962708698787,18,0,15524.9927776607,-15524.9943694462,1.61698011333505,1.60339734174214,1.60339128395647,6.05778566975523e-06,-0.00022115170111009,0.013420009600321,1.61698011333505,0,257.481097342453,58.4740718516773,7.66463794894296e-10,1,0.99969644046237,0,0.0064927876279901,0.000162761992586992,0.000878916752025369,0.00158790123353566,0,1.60339734174214,4270,-2.92000000000001
85.635,9449.99348889683,1.61655728399836,9450,9449.99350363309,2.39045507744583,1.61655728399836,0,-0.000291063263287355,18.0939074422905,18,0,15520.6977856223,-15520.699430883,1.61655728399836,1.60296466241442,1.60295859144057,6.07097384386357e-06,-0.000230598849492372,0.013429748781763,1.61655728399836,0,257.474857455699,58.4539951627611,7.78592078074933e-10,1,0.999708553731866,0,0.0064964642276816,0.000162872802185526,0.000878139229270317,0.00158792947976259,0,1.60296466241442,4272.5,-2.91000000000001
85.65,9449.99348453088,1.61613436862779,9450,9449.99349981401,2.39046004670266,1.61613436862779,0,-0.000300519126607869,18.0915441592887,18,0,15516.4021232683,-15516.4038219791,1.61613436862779,1.60253188799149,1.60252580370189,6.0842895923674e-06,-0.000240044835015731,0.0134394934781045,1.61613436862779,0,257.46861756306,58.4339184737814,7.90911254087344e-10,1,0.999720667438134,0,0.00650028272370176,0.000162987158203315,0.000877363099814726,0.00158795769242747,0,1.60253188799149,4275,-2.90000000000001
85.665,9449.99348002309,1.6157113672627,9450,9449.99349585319,2.39046502242279,1.6157113672627,0,-0.000309942921885443,18.0891810199462,18,0,15512.1057907558,-15512.1075427354,1.6157113672627,1.60209901825469,1.60209292052082,6.09773387072465e-06,-0.000249491785234808,0.0134492439021901,1.6157113672627,0,257.462377664545,58.4138417847505,8.03421855441346e-10,1,0.999732781581193,0,0.00650424493985231,0.000163105105823353,0.000876588363557943,0.00158798587142461,0,1.60209901825469,4277.5,-2.89000000000001
85.68,9449.99347537395,1.61528827984044,9450,9449.99349175062,2.39047000471327,1.61528827984044,0,-0.000319370569844387,18.0868180254462,18,0,15507.8087877907,-15507.8105930609,1.61528827984044,1.60166605298826,1.60165994167892,6.11130934302651e-06,-0.000258940084002414,0.0134590002695999,1.61528827984044,0,257.456137760147,58.3937650956682,8.16128456787472e-10,1,0.999744896161133,0,0.00650834810470234,0.000163226582573751,0.000875815020438274,0.00158801401664799,0,1.60166605298826,4280,-2.88
