test_time_s,branch,speed_rpm,acceleration_rpm_s,temperature_K,pressure_kPa,strict_box_outside,box_outside,hull_excess,kernel_NN_distance,covered
70.035,2,9550.00054207373,0.00267646051513503,250.73592545797,33.4743286014241,0,0,-0.270106511428573,0.154519505637223,1
70.05,2,9550.00058094209,0.00264292261289642,250.7471291628,33.4863880929207,0,0,-0.270228313176742,0.154617858061333,1
70.065,2,9550.00061932073,0.00260973468895218,250.758332867628,33.4984475844171,0,0,-0.270350114924967,0.154720260635988,1
70.08,2,9550.0006572636,0.00257817467721615,250.769536572454,33.5105070759137,0,0,-0.270471916673244,0.154826705590811,1
70.095,2,9550.00069481196,0.00254868368272653,250.780740277276,33.5225665674101,0,0,-0.270593718421586,0.154937184769684,1
70.11,2,9550.00073198974,0.00252107600977256,250.791943982096,33.5346260589067,0,0,-0.270715520169974,0.155051689628251,1
70.125,2,9550.00076880587,0.00249484442981517,250.803147686913,33.5466855504032,0,0,-0.270837321918419,0.155170211261357,1
70.14,2,9550.00080525833,0.00246939462485423,250.814351391728,33.5587450418997,0,0,-0.270959123666922,0.155292740434022,1
70.155,2,9550.00084134075,0.00244425189443794,250.825555096539,33.5708045333962,0,0,-0.271080925415491,0.155419267619928,1
70.17,2,9550.0008770479,0.00241915847371253,250.836758801349,33.5828640248927,0,0,-0.271202727164091,0.155549783030427,1
70.185,2,9550.00091237916,0.00239407826077339,250.847962506156,33.5949235163892,0,0,-0.271324528912761,0.155684276630831,1
70.2,2,9550.00094734047,0.00236916194182847,250.859166210961,33.6069830078857,0,0,-0.271446330661464,0.155822738149818,1
70.215,2,9550.00098194371,0.00234465703432196,250.870369915762,33.6190424993822,0,0,-0.271568132410251,0.155965157075897,1
70.23,2,9550.00101620599,0.00232085017617793,250.881573620561,33.6311019908787,0,0,-0.271689934159078,0.156111522655747,1
70.245,2,9550.00105014752,0.00229799690920232,250.892777325357,33.6431614823752,0,0,-0.27181173590796,0.156261823886517,1
70.26,2,9550.00108379002,0.00227629173488943,250.903981030151,33.6552209738717,0,0,-0.27193353765689,0.156416049512474,1
70.275,2,9550.00111715455,0.00225583535173258,250.915184734943,33.6672804653682,0,0,-0.272055339405873,0.15657418801937,1
70.29,2,9550.00115026099,0.00223665786978551,250.926388439732,33.6793399568647,0,0,-0.272177141154918,0.156736227637878,1
70.305,2,9550.00118312781,0.00221874066845887,250.937592144518,33.6913994483612,0,0,-0.272298942904004,0.156902156348153,1
70.32,2,9550.00121577204,0.00220203456853106,250.948795849302,33.7034589398577,0,0,-0.272420744653159,0.157071961884741,1
70.335,2,9550.00124820935,0.00218647386003944,250.959999554083,33.7155184313542,0,0,-0.272542546402362,0.157245631742082,1
70.35,2,9550.00128045486,0.00217200475526132,250.971203258862,33.7275779228507,0,0,-0.272664348151602,0.157423153183254,1
70.365,2,9550.00131252343,0.00215858742541373,250.982406963638,33.7396374143472,0,0,-0.272786149900919,0.157604513245331,1
70.38,2,9550.0013444297,0.00214619198738616,250.993610668412,33.7516969058437,0,0,-0.272907951650273,0.157789698744063,1
70.395,2,9550.00137618815,0.00213479640357202,251.004814373183,33.7637563973402,0,0,-0.273029753399689,0.157978696278214,1
70.41,2,9550.00140781323,0.00212438597148301,251.016018077952,33.7758158888367,0,0,-0.273151555149142,0.158171492234615,1
70.425,2,9550.00143931864,0.00211493278326311,251.027221782718,33.7878753803332,0,0,-0.273273356898658,0.158368072789037,1
70.44,2,9550.0014707183,0.00210642520824456,251.038425487481,33.7999348718297,0,0,-0.273395158648241,0.15856842391575,1
70.455,2,9550.00150202488,0.00209882336453785,251.049629192242,33.8119943633262,0,0,-0.273516960397854,0.158772531384653,1
70.47,2,9550.00153325099,0.00209210196512217,251.060832897001,33.8240538548227,0,0,-0.273638762147531,0.158980380772228,1
70.485,2,9550.00156440816,0.00208621670998062,251.072036601757,33.8361133463192,0,0,-0.273760563897246,0.159191957460929,1
70.5,2,9550.00159550734,0.00208112593831913,251.083240306511,33.8481728378157,0,0,-0.273882365647026,0.159407246646659,1
70.515,2,9550.00162655855,0.00207677990408242,251.094444011262,33.8602323293122,0,0,-0.274004167396861,0.159626233341783,1
70.53,2,9550.00165757081,0.00207312243039441,251.105647716011,33.8722918208087,0,0,-0.274125969146744,0.159848902379633,1
70.545,2,9550.00168855283,0.00207011066480089,251.116851420757,33.8843513123052,0,0,-0.27424777089667,0.160075238422563,1
